i, A atom number, A Group, A Period, A Electron negativity, A Covalent radius, A Atom radius, A Van der Wahls radius, A Electron affinity, A Ionisation energy, A Average oxidation number, A Difference between smallest and largest oxidation number, A Noble gas, A Number of s electrons, A Number of p electron, A Number of d electron, A Pettifour radius, A Atomization energy pr atom, B Atom number, B Group, B Period, B Electron negativity, B Covalent radius, B Atom radius, B Van der Wahls radius, B Electron affinity, B Ionesation energy, B Average oxidation number, B Difference between smallest and largest oxidation number, B Noble gas, B Number of s electrons, B Number of p electron, B Number of d electron, B Pettifour radius, B Atomization energy pr atom, 
0, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -1.14815504971, -1.9928069082, -1.19080075196, -0.950033008986, -1.01705912631, 0.098504006555, -2.02239057562, -1.31962735246, -1.02237883502, -0.377841392237, -1.23959080581, -1.19080075196, 0.0, -1.9928069082, -0.881917103688, -0.937660190617, -0.971148159407, 
1, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -1.08831635005, -1.17524509971, -1.19080075196, -0.0640593686059, -1.23936713206, -0.792314835334, 0.335475847735, -0.4252804244, 0.140932119965, 0.0225203478817, -0.29514066805, -1.19080075196, 0.0, -1.17524509971, -0.881917103688, -0.0360638534853, -2.05043617963, 
2, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -1.0284776504, -0.357683291215, -1.19080075196, 0.787170207445, -1.32829033436, -1.34051104573, 0.12742881038, -1.63800610105, 1.42657078061, 0.102592695905, 0.17708440083, -1.19080075196, 0.0, -0.357683291215, -0.881917103688, 0.865532483646, -1.76384055466, 
3, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.968638950736, 0.459878517277, -1.19080075196, 1.48205149402, -1.41721353666, -1.68313367722, 0.085819402909, -0.24412144802, 1.06685271196, -2.17946922277, -0.767365736931, -1.19080075196, 0.0, 0.459878517277, -0.881917103688, 1.76712882078, -0.286428999603, 
4, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.908800251076, 1.27744032577, -1.19080075196, 2.42014123089, -1.46167513781, -1.95723178242, 0.0164703904573, 1.52207406075, 2.56097862441, -2.78001183295, -1.23959080581, -1.19080075196, 0.0, 1.27744032577, -0.881917103688, 2.66872515791, 1.14477178802, 
5, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.60960675278, -1.17524509971, -0.283523988562, -1.19324145929, 0.272327307045, 1.09210963789, 0.890267947349, -0.309296037596, -1.07983162263, 0.823243828119, -1.23959080581, -0.283523988562, 0.0, -1.17524509971, -0.881917103688, -1.04585175107, -0.41084260424, 
6, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.54976805312, -0.357683291215, -0.283523988562, -0.689452526521, 0.0500193012939, 0.304077585453, 0.474173872639, -0.894685678244, -0.162864711814, 0.422882088, -0.29514066805, -0.283523988562, 0.0, -0.357683291215, -0.881917103688, -0.61308550925, -0.497932127485, 
7, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.489929353461, 0.459878517277, -0.283523988562, -0.011943272113, -0.127827103307, -0.175594098642, 0.474173872639, 0.316660690657, -0.21262047524, 0.222701217941, 0.649309469711, -0.283523988562, 0.0, 0.459878517277, -0.881917103688, -0.144255413941, 0.23210913115, 
8, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, -0.430090653802, 1.27744032577, -0.283523988562, 0.995634593417, -0.261211906757, -0.586741256437, 0.404824860187, 1.71465031137, 0.811397904474, 0.102592695905, 1.59375960747, -0.283523988562, 0.0, 1.27744032577, -0.881917103688, 0.324574681367, 1.28651443045, 
9, -1.74264104204, -1.38763281712, -2.31200811549, -1.42764574951, -0.669722310881, 0.191840892293, 1.09034865318, -0.0444506455391, -1.17831356966, -1.67941631317, -0.691883384835, -2.31200811549, -1.33103476412, -0.562039011517, -1.16078153403, -1.27946602023, 0.865532026321, 0.467489841089, -1.17524509971, 0.623752774836, -1.00214910548, 0.761404919696, 1.29768321679, -2.02239057562, -0.45205088411, -1.17891117363, 0.823243828119, -1.23959080581, 0.623752774836, 0.0, -1.17524509971, 1.13389341903, -1.11797945804, 0.0979201718635, 
